912810TM0,100.193,1319469,2638938,100.197,1319469,2638938
91282CFV8,99.2363,1404028,2808056,99.2402,1404028,2808056
91282CFV8,99.2363,1404028,2808056,99.2402,1404028,2808056
91282CFZ9,99.4941,1397826,2795652,99.498,1397826,2795652
912810TM0,100.193,1319469,2638938,100.197,1319469,2638938
912810TL2,0,0,0,0,0,0
912810TM0,100.193,1319469,2638938,100.197,1319469,2638938
91282CFY2,0,0,0,0,0,0
912810TL2,0,0,0,0,0,0
91282CFX4,0,0,0,0,0,0
91282CFZ9,100.33,1455950,2911900,100.334,1455950,2911900
91282CFZ9,100.33,1455950,2911900,100.334,1455950,2911900
91282CFX4,100.205,1264188,2528376,100.209,1264188,2528376
91282CGA3,100.408,1555267,3110534,100.412,1555267,3110534
91282CFX4,100.205,1264188,2528376,100.209,1264188,2528376
91282CGA3,100.408,1555267,3110534,100.412,1555267,3110534
91282CFZ9,100.33,1455950,2911900,100.334,1455950,2911900
912810TM0,100.193,1319469,2638938,100.197,1319469,2638938
91282CFY2,0,0,0,0,0,0
91282CFY2,0,0,0,0,0,0
91282CFX4,100.205,1264188,2528376,100.209,1264188,2528376
912810TM0,100.193,1319469,2638938,100.197,1319469,2638938
91282CFY2,0,0,0,0,0,0
91282CFY2,0,0,0,0,0,0
91282CFZ9,100.33,1455950,2911900,100.334,1455950,2911900
91282CFY2,0,0,0,0,0,0
91282CGA3,100.807,1286656,2573312,100.811,1286656,2573312
91282CFY2,0,0,0,0,0,0
912810TM0,100.193,1319469,2638938,100.197,1319469,2638938
912810TL2,0,0,0,0,0,0
91282CFX4,100.205,1264188,2528376,100.209,1264188,2528376
91282CFX4,100.205,1264188,2528376,100.209,1264188,2528376
912810TM0,99.4355,1298208,2596416,99.4395,1298208,2596416
912810TM0,99.4355,1298208,2596416,99.4395,1298208,2596416
91282CFZ9,100.33,1455950,2911900,100.334,1455950,2911900
91282CGA3,100.607,1978218,3956436,100.611,1978218,3956436
912810TM0,99.5293,1515629,3031258,99.5332,1515629,3031258
91282CFV8,99.2363,1404028,2808056,99.2402,1404028,2808056
912810TL2,0,0,0,0,0,0
912810TL2,0,0,0,0,0,0
91282CFZ9,100.33,1455950,2911900,100.334,1455950,2911900
91282CFV8,99.2363,1404028,2808056,99.2402,1404028,2808056
912810TL2,0,0,0,0,0,0
91282CFZ9,100.33,1455950,2911900,100.334,1455950,2911900
91282CFY2,0,0,0,0,0,0
91282CGA3,99.502,1063188,2126376,99.5059,1063188,2126376
912810TM0,100.561,1383776,2767552,100.564,1383776,2767552
912810TM0,100.326,1897135,3794270,100.33,1897135,3794270
91282CFZ9,100.33,1455950,2911900,100.334,1455950,2911900
91282CFY2,0,0,0,0,0,0
912810TM0,100.326,1897135,3794270,100.33,1897135,3794270
91282CFV8,99.6543,1172757,2345514,99.6582,1172757,2345514
912810TM0,100.807,1145707,2291414,100.811,1145707,2291414
912810TL2,100.107,1519192,3038384,100.111,1519192,3038384
912810TL2,100.17,1580378,3160756,100.174,1580378,3160756
912810TL2,100.17,1580378,3160756,100.174,1580378,3160756
91282CFY2,0,0,0,0,0,0
912810TL2,100.17,1580378,3160756,100.174,1580378,3160756
91282CGA3,99.502,1063188,2126376,99.5059,1063188,2126376
912810TM0,100.807,1145707,2291414,100.811,1145707,2291414
91282CFV8,99.6543,1172757,2345514,99.6582,1172757,2345514
91282CGA3,99.502,1063188,2126376,99.5059,1063188,2126376
912810TL2,100.17,1580378,3160756,100.174,1580378,3160756
91282CFV8,99.416,1632559,3265118,99.4199,1632559,3265118
912810TL2,100.17,1580378,3160756,100.174,1580378,3160756
91282CFV8,99.8145,1306234,2612468,99.8184,1306234,2612468
91282CFX4,100.205,1264188,2528376,100.209,1264188,2528376
91282CFY2,0,0,0,0,0,0
91282CFX4,100.205,1264188,2528376,100.209,1264188,2528376
91282CFY2,99.877,1637426,3274852,99.8809,1637426,3274852
91282CFX4,100.205,1264188,2528376,100.209,1264188,2528376
91282CGA3,99.502,1063188,2126376,99.5059,1063188,2126376
91282CFZ9,100.33,1455950,2911900,100.334,1455950,2911900
912810TL2,100.17,1580378,3160756,100.174,1580378,3160756
91282CFY2,99.877,1637426,3274852,99.8809,1637426,3274852
91282CGA3,99.502,1063188,2126376,99.5059,1063188,2126376
91282CFY2,99.877,1637426,3274852,99.8809,1637426,3274852
91282CFX4,100.205,1264188,2528376,100.209,1264188,2528376
91282CFV8,99.8145,1306234,2612468,99.8184,1306234,2612468
91282CFV8,99.8145,1306234,2612468,99.8184,1306234,2612468
91282CGA3,99.502,1063188,2126376,99.5059,1063188,2126376
91282CGA3,99.502,1063188,2126376,99.5059,1063188,2126376
91282CFZ9,100.088,1856035,3712070,100.092,1856035,3712070
91282CFX4,99.041,1828332,3656664,99.0449,1828332,3656664
912810TL2,100.17,1580378,3160756,100.174,1580378,3160756
912810TM0,100.807,1145707,2291414,100.811,1145707,2291414
91282CFZ9,100.088,1856035,3712070,100.092,1856035,3712070
91282CFV8,99.8145,1306234,2612468,99.8184,1306234,2612468
91282CFY2,99.877,1637426,3274852,99.8809,1637426,3274852
91282CGA3,99.4199,1299419,2598838,99.4238,1299419,2598838
91282CFV8,99.8145,1306234,2612468,99.8184,1306234,2612468
91282CFY2,99.877,1637426,3274852,99.8809,1637426,3274852
91282CFV8,99.8145,1306234,2612468,99.8184,1306234,2612468
91282CFX4,99.041,1828332,3656664,99.0449,1828332,3656664
912810TL2,100.17,1580378,3160756,100.174,1580378,3160756
912810TM0,100.807,1145707,2291414,100.811,1145707,2291414
91282CGA3,100.51,1997005,3994010,100.514,1997005,3994010
91282CFY2,99.877,1637426,3274852,99.8809,1637426,3274852
91282CGA3,100.51,1997005,3994010,100.514,1997005,3994010
91282CFZ9,99.2168,1272351,2544702,99.2207,1272351,2544702
912810TL2,100.17,1580378,3160756,100.174,1580378,3160756
91282CFY2,99.877,1637426,3274852,99.8809,1637426,3274852
91282CFX4,100.439,1363096,2726192,100.443,1363096,2726192
91282CFZ9,99.2168,1272351,2544702,99.2207,1272351,2544702
912810TL2,100.17,1580378,3160756,100.174,1580378,3160756
91282CGA3,100.592,1287836,2575672,100.596,1287836,2575672
912810TM0,99.1426,1537880,3075760,99.1465,1537880,3075760
91282CFY2,99.877,1637426,3274852,99.8809,1637426,3274852
91282CFY2,99.877,1637426,3274852,99.8809,1637426,3274852
91282CFX4,100.439,1363096,2726192,100.443,1363096,2726192
91282CFY2,99.877,1637426,3274852,99.8809,1637426,3274852
91282CFV8,99.8145,1306234,2612468,99.8184,1306234,2612468
